ENSG00000000003.13 TSPAN6 2974 5327 4250 9596 5499 3319 5235 3835 4277 5916 612 453 703 547 414
ENSG00000000005.5 TNMD 847 6 8 53 14 19 5 6 23 35 8 5 5 9 0
ENSG00000000419.11 DPM1 2483 1453 1352 1499 1137 914 1202 955 1333 1740 992 930 974 1077 795
ENSG00000000457.12 SCYL3 506 800 634 586 651 462 581 585 671 358 617 495 760 592 633
ENSG00000000460.15 C1orf112 374 748 300 401 500 232 306 237 480 279 88 74 100 109 161
ENSG00000000938.11 FGR 1177 185 307 251 1147 1038 632 317 983 737 230 456 265 296 172
ENSG00000000971.14 CFH 4540 251 911 1986 892 6343 1636 874 635 2327 800 586 848 412 195
ENSG00000001036.12 FUCA2 3736 872 2943 2669 1887 1595 1736 1478 3304 2619 813 777 865 932 2141
ENSG00000001084.9 GCLC 1940 1409 1595 1430 5141 2189 3105 4946 1175 2451 2156 1883 2326 2366 5559
ENSG00000001167.13 NFYA 1302 801 787 529 1705 901 1261 1373 1333 641 1218 1244 1470 1078 1350
ENSG00000001460.16 STPG1 381 51 216 791 205 380 324 139 112 435 1236 1134 1230 1365 1506
ENSG00000001461.15 NIPAL3 1666 481 812 1386 5288 2597 2340 1537 1135 2134 7553 8352 8884 8110 26346
ENSG00000001497.15 LAS1L 1941 1179 3270 1401 2219 1303 2673 4274 2858 862 1552 1644 2295 2201 2467
ENSG00000001561.6 ENPP4 3319 1170 284 3099 2495 2290 1595 2013 893 516 2278 2893 2606 2498 7584
ENSG00000001617.10 SEMA3F 435 82 474 166 203 667 1003 209 1139 179 233 415 244 310 123
ENSG00000001626.13 CFTR 21 12 101 19 174 24 33 362 10 3 85 131 135 136 446
ENSG00000001629.8 ANKIB1 2477 1751 3673 78808 11751 4339 11256 6502 4630 9263 3083 3240 3935 3192 7004
ENSG00000001630.14 CYP51A1 394 91 196 3767 230 408 833 114 438 437 586 609 664 349 535
ENSG00000001631.13 KRIT1 1211 592 1876 38039 1944 1697 2659 1707 2189 1434 1309 1204 1621 1298 1457
ENSG00000002016.15 RAD52 230 633 797 651 728 428 546 2142 474 202 324 351 450 486 657
ENSG00000002079.11 MYH16 10 7 14 0 15 5 25 20 25 6 16 5 15 5 15
ENSG00000002330.12 BAD 1985 3966 4255 2189 2859 1485 2494 2523 3044 5218 2348 1826 2514 2591 2174
ENSG00000002549.11 LAP3 6190 2697 3952 6762 8528 9316 8073 3679 5387 10001 2815 2868 2456 2440 4057
ENSG00000002586.16 CD99 36427 23753 28963 23163 34789 17990 27448 10002 38407 49403 2399 3132 3553 3785 3518
ENSG00000002587.8 HS3ST1 409 3237 1451 1171 2390 1336 317 545 413 87 541 480 692 599 137
ENSG00000002726.18 AOC1 8 4 13 7 7 32 4 2 0 5 7 1 0 0 2
ENSG00000002745.11 WNT16 46 7 83 5 5 74 85 5 7 4 95 90 131 52 27
ENSG00000002746.13 HECW1 239 47 48 13 133 17 51 547 19 6 4727 3340 5204 2998 482
ENSG00000002822.14 MAD1L1 1313 568 1706 402 1270 888 1925 1307 1697 1305 1325 1430 1513 1671 1771
ENSG00000002834.16 LASP1 5544 2722 7213 2826 13680 9719 14572 10540 8417 7090 9682 7747 10261 9074 3579
ENSG00000002919.13 SNX11 1657 5777 2409 2313 1886 1388 1344 1612 1521 1802 1151 1234 1317 1424 1358
ENSG00000002933.6 TMEM176A 3813 801 3127 2656 1334 2411 278 587 758 1967 828 600 668 692 1099
ENSG00000003056.6 M6PR 3083 2406 1721 5753 4796 3609 3344 7119 1565 1950 2494 2678 2973 2585 2142
ENSG00000003096.12 KLHL13 538 2303 854 852 1787 599 1337 1357 418 1083 443 507 687 473 263
ENSG00000003137.7 CYP26B1 377 119 63 28 227 29 19 146 121 9 3998 3405 2827 2363 714
ENSG00000003147.16 ICA1 262 394 480 262 464 517 235 702 220 223 2081 1185 2329 1950 384
ENSG00000003249.12 DBNDD1 935 652 1968 1139 1162 654 4073 1050 4341 2217 4041 3130 3932 3647 1043
ENSG00000003393.13 ALS2 1479 637 1547 1262 1909 1568 2641 1722 1970 819 3290 2570 4009 2790 1532
ENSG00000003400.13 CASP10 414 417 505 309 611 697 370 529 352 198 234 225 215 238 148
ENSG00000003402.18 CFLAR 5303 1398 2619 2678 3113 4966 3704 3230 2857 1408 2167 2716 2655 2212 2961
ENSG00000003436.13 TFPI 2633 714 522 1822 900 1644 3794 710 482 546 87 147 121 109 44
ENSG00000003509.14 NDUFAF7 794 519 704 477 493 526 603 554 467 387 580 666 759 636 511
ENSG00000003756.15 RBM5 2786 4169 11242 2028 5669 3657 5019 7320 5224 1647 3857 4171 4975 5098 6154
ENSG00000003987.12 MTMR7 194 262 81 82 316 100 109 1073 77 48 2196 1504 2488 1720 1224
ENSG00000003989.15 SLC7A2 3307 79 374 78 1523 779 553 2534 96 22 2148 1204 2085 869 876
ENSG00000004059.9 ARF5 7939 10840 13731 6938 4836 4711 9860 4727 8010 15832 7200 5575 7593 8417 3850
ENSG00000004139.12 SARM1 285 371 1069 187 1401 764 1829 1158 961 267 851 677 989 832 683
ENSG00000004142.10 POLDIP2 3963 5414 4891 3289 7596 4504 8803 7310 7442 6400 5316 4798 6044 5593 3959
ENSG00000004399.11 PLXND1 6837 1171 6201 1582 4932 11225 7810 4810 8617 1669 5696 5155 6021 5284 6440
ENSG00000004455.15 AK2 10380 9114 6353 7806 5771 4037 3867 5464 8532 6864 1116 1468 1367 1533 2790
ENSG00000004468.11 CD38 192 1573 1217 387 7000 572 1116 5894 1751 608 419 448 509 370 1563
ENSG00000004478.7 FKBP4 4205 6049 5755 3889 5840 3501 3952 10652 2845 4698 6515 8695 8678 9469 7458
ENSG00000004487.14 KDM1A 4599 7182 5369 2820 8637 3404 5787 5459 5235 2877 3457 3310 3774 3775 2044
ENSG00000004534.13 RBM6 1994 1026 10296 1257 5067 3319 3434 5513 6109 899 3019 2963 3788 3571 3591
ENSG00000004660.13 CAMKK1 751 457 597 218 946 550 557 1408 203 319 13044 19386 14167 11360 2200
ENSG00000004700.14 RECQL 1478 639 567 1254 1215 1118 1526 633 629 465 390 401 484 361 389
ENSG00000004766.14 VPS50 1212 1009 1432 2745 1746 1304 1620 1324 1523 1800 1445 2076 3174 2409 1359
ENSG00000004776.10 HSPB6 994 393 2829 1907 386 884 3329 493 6027 4031 713 452 614 1123 706
ENSG00000004777.17 ARHGAP33 665 1668 5118 373 3315 998 5631 3800 5099 961 5589 3670 5410 5122 3190
ENSG00000004779.8 NDUFAB1 3290 5908 3683 2788 2747 1722 2238 2359 2328 4130 2569 2587 3120 3620 1849
ENSG00000004799.7 PDK4 1585 1132 644 204 7001 3617 1782 2184 1589 510 2815 1012 916 1698 5087
ENSG00000004809.12 SLC22A16 22 1 0 2 7 28 3 3 3 0 4 9 1 7 6
ENSG00000004838.12 ZMYND10 166 258 223 1077 114 593 484 145 2660 471 119 77 105 117 120
ENSG00000004846.15 ABCB5 18 0 1 2 2 25 8 2 6 2 2 1 4 3 3
ENSG00000004848.6 ARX 113 91 197 105 79 51 988 103 1683 706 1359 1129 1675 1529 267
ENSG00000004864.12 SLC25A13 971 1172 1610 1302 1888 1577 2232 1003 1610 1111 338 558 481 614 3012
ENSG00000004866.17 ST7 1571 1502 2208 1812 2295 1602 1264 2179 2640 2766 1177 947 1341 1187 615
ENSG00000004897.10 CDC27 2842 1937 1604 2180 3784 2112 2881 2683 3080 1459 4222 4062 4570 3557 2789
ENSG00000004939.12 SLC4A1 2 3 11 2 7 4 20 9 9 0 7 2 6 165 2
ENSG00000004948.12 CALCR 22 8 8 15 6 19 1 7 9 0 28 14 17 41 3
ENSG00000004961.13 HCCS 2030 1295 953 1267 952 699 1032 727 865 1007 1160 1439 1213 1240 574
ENSG00000004975.10 DVL2 1186 1379 1797 858 2354 1779 3705 1365 3663 1271 921 937 1098 1162 2044
ENSG00000005001.8 PRSS22 1 1 2 1 2 1 1 2 0 0 4 5 4 2 1
ENSG00000005007.11 UPF1 2733 1123 4989 1651 6807 3527 5727 5823 5888 1836 6053 6889 6714 6595 7404
ENSG00000005020.11 SKAP2 2129 587 498 5597 1699 4850 2938 741 2395 1191 2515 2075 2670 2002 1504
ENSG00000005022.5 SLC25A5 14741 28813 16134 11757 9745 8755 14075 9290 13359 17662 6927 6982 8029 8037 6163
ENSG00000005059.14 MCUB 2878 819 2001 3739 929 2235 1753 407 2300 2499 299 1085 309 294 258
ENSG00000005073.5 HOXA11 57 176 26 95 179 21 39 120 3 3 0 0 0 0 0
ENSG00000005075.14 POLR2J 3089 4421 5580 3573 2828 2004 2601 3032 3894 7601 792 969 850 1190 1088
ENSG00000005100.11 DHX33 999 554 1488 609 2252 1334 2822 1360 1333 834 1862 1520 2018 1493 1029
ENSG00000005102.11 MEOX1 21 2 0 2 6 1 3 6 4 5 0 3 1 3 0
ENSG00000005108.14 THSD7A 152 187 607 483 2412 834 1451 1736 315 417 1833 656 2233 1342 203
ENSG00000005156.10 LIG3 760 1051 1117 588 2051 988 1618 1606 1348 986 1117 1123 1334 1047 1008
ENSG00000005175.8 RPAP3 916 532 884 1926 1635 1001 1215 1270 756 1012 1455 1497 1772 1126 985
ENSG00000005187.10 ACSM3 41 29 33 28 48 41 26 26 42 15 12 13 15 10 12
ENSG00000005189.18 REXO5 182 1142 272 169 349 140 357 228 790 247 301 133 306 223 106
ENSG00000005194.13 CIAPIN1 2248 7539 3679 2077 3334 1860 3566 2977 2624 3721 2057 2429 2449 2443 1510
ENSG00000005206.15 SPPL2B 1412 1191 10774 1004 3189 2287 4924 3327 6405 1639 1916 1616 2521 2571 3390
ENSG00000005238.18 FAM214B 1460 618 2723 798 1884 1299 1963 2057 3388 798 1930 1773 2163 2158 3010
ENSG00000005243.8 COPZ2 2240 719 1221 1576 1947 900 813 686 1796 1720 233 198 268 238 383
ENSG00000005249.11 PRKAR2B 599 204 373 1182 611 433 872 821 2131 225 5589 2684 5697 4448 1041
ENSG00000005302.16 MSL3 1975 1673 1901 2296 1824 1479 1237 1471 388 1276 1791 1422 2073 1804 944
ENSG00000005339.11 CREBBP 2509 1022 3766 1024 6624 3787 7818 4520 4808 1407 5290 5388 5837 4405 4237
ENSG00000005379.14 TSPOAP1 367 665 1960 283 966 1227 2932 4585 1544 160 17610 9402 16208 12410 2771
ENSG00000005381.7 MPO 21 10 8 3 10 28 9 20 18 2 181 66 182 152 34
ENSG00000005421.7 PON1 0 7 6 3 45 5 69 17 28 22 27 16 37 33 28
ENSG00000005436.12 GCFC2 734 462 949 615 988 526 953 905 1204 582 513 520 692 521 674
ENSG00000005448.15 WDR54 1438 1662 1304 1194 1088 677 1455 1138 2524 973 1147 638 1172 1325 859
ENSG00000005469.10 CROT 1349 1058 1698 4115 2817 2309 4208 3798 1904 2371 752 484 841 741 353
ENSG00000005471.14 ABCB4 178 83 145 99 284 223 314 135 234 235 62 27 53 64 19
ENSG00000005483.18 KMT2E 2399 971 3680 1917 5467 3085 5288 5422 4672 1835 4237 3682 5134 3899 4258
ENSG00000005486.15 RHBDD2 5740 7121 12678 19841 7974 6029 22553 10082 13888 22764 20618 19167 21293 22427 10365
ENSG00000005513.9 SOX8 234 7987 22217 249 28372 3120 22523 22655 2956 4653 2937 5708 3272 6192 25173
ENSG00000005700.13 IBTK 2579 868 1441 1031 2666 1629 3277 2570 1584 956 2333 1952 2751 2161 3073
ENSG00000005801.15 ZNF195 776 1537 1837 948 1100 682 1293 1213 998 1302 1123 1192 1327 1371 1051
ENSG00000005810.16 MYCBP2 1618 953 1631 1048 4102 1731 2312 4452 1712 601 16967 10738 20068 12885 4161
ENSG00000005812.9 FBXL3 2277 2348 2121 3449 3725 1840 2737 2571 3259 2702 3056 2862 3371 2826 4176
ENSG00000005844.16 ITGAL 226 368 259 461 1482 970 259 525 390 388 239 190 216 282 252
ENSG00000005882.10 PDK2 1021 1074 1113 1026 2313 1965 2753 2790 1774 1768 4294 2878 4731 4771 2483
ENSG00000005884.16 ITGA3 7883 542 2226 1713 1957 2126 18800 2134 4219 5354 1918 1671 2413 1923 584
ENSG00000005889.14 ZFX 2538 953 1141 1952 1456 1929 2010 1158 1583 1080 1556 1199 1286 938 1732
ENSG00000005893.14 LAMP2 19846 10319 9171 30498 22028 11547 10863 12302 19147 19386 6712 10486 8501 9810 56377
ENSG00000005961.16 ITGA2B 77 36 91 36 97 56 80 143 232 14 93 66 158 145 102
ENSG00000005981.11 ASB4 1 17 4 1 51 15 53 50 14 4 63 63 51 110 82
ENSG00000006007.10 GDE1 3532 4109 3623 3534 6697 3565 4243 5129 2366 4125 5438 4969 5986 5264 6802
ENSG00000006015.16 REX1BD 1886 2643 3168 1192 1016 1064 1833 1113 2523 1606 1400 1342 2026 2693 1349
